library,version
hookform-resolvers,2.9.1
emotion-styled,11.9.3
aws-amplify-ui-react,2.20.0
aws-amplify,4.3.24
emotion-react,11.9.3
aws-sdk,2.1154.0
aws-crypto-sha256-js,2.0.1
aws-sdk-credential-provider-node,3.161.0
aws-sdk-protocol-http,3.160.0
aws-sdk-signature-v4,3.160.0
aws-sdk-util-dynamodb,3.180.0
graphql,16.6.0
node-fetch,3.2.10
tiny-invariant,1.2.0
aws-amplify-react,5.1.9
mui-lab,5.0.0-alpha.86
mui-styles,5.8.4
mui-codemod,5.8.4
mui-material,5.8.4
mui-icons-material,5.8.4
fp-ts,2.12.1
i18next,21.8.9
i18next-browser-languagedetector,6.1.4
moment,2.29.3
lambda-log,3.1.0
moment-timezone,0.5.34
nanoid,4.0.0
nyc,15.1.0
react,18.2.0
react-dom,18.2.0
react-i18next,11.17.2
react-hook-form,7.32.1
react-query,3.39.2
react-easy-crop,4.4.0
react-router,6.3.0
react-router-dom,6.3.0
react-scripts,5.0.1
ts-pattern,4.0.4
web-vitals,2.1.4
yup,0.32.11
zod,3.17.10
typescript,4.7.3
uuid,9.0.0
